"currentDate","currentTime","point0","point1","currentSpeed","freeFlowSpeed","currentTravelTime","freeFlowTravelTime","id"
"2022-10-08","14:00:13",18.9588,73.1594,49,49,50,50,324
"2022-10-08","14:00:13",18.9832,73.1008,23,29,491,390,325
"2022-10-08","14:00:13",18.9859,73.1198,18,23,274,214,326
"2022-10-08","14:00:13",19.0186,73.0283,48,48,648,648,327
"2022-10-08","14:00:13",19.0269,73.0939,53,53,1107,1107,328
"2022-10-08","14:00:13",18.9607,73.1655,47,47,169,169,329
"2022-10-08","14:00:13",18.9645,73.131,42,55,2404,1835,330
"2022-10-08","14:00:13",19.0438,73.0273,53,53,1107,1107,331
"2022-10-08","14:00:13",18.9748,73.1242,28,44,900,573,332
"2022-10-08","14:00:13",19.0237,73.1059,29,41,462,327,333
"2022-10-08","14:00:13",18.9831,73.0809,22,28,1671,1313,334
"2022-10-08","14:00:13",18.9662,73.126,51,61,2060,1722,335
"2022-10-08","14:00:13",18.9681,73.1316,71,71,136,136,336
"2022-10-08","14:00:13",19.0005,73.0337,48,48,648,648,337
"2022-10-08","14:00:13",19.0316,73.1053,29,41,462,327,338
"2022-10-08","14:00:13",18.9561,73.1617,46,52,1040,920,339
"2022-10-08","14:00:13",18.9926,73.0957,46,56,365,300,340
"2022-10-08","14:00:13",19.0007,73.1299,78,78,455,455,341
"2022-10-08","14:00:13",18.9941,73.1148,28,44,900,573,342
"2022-10-08","14:15:13",19.0316,73.1053,30,41,447,327,343
"2022-10-08","14:15:13",18.9832,73.1008,22,29,514,390,344
"2022-10-08","14:15:13",18.9859,73.1198,18,24,274,205,345
"2022-10-08","14:15:13",18.9607,73.1655,39,46,203,172,346
"2022-10-08","14:15:13",19.0237,73.1059,30,41,447,327,347
"2022-10-08","14:15:13",18.9926,73.0957,45,57,373,295,348
"2022-10-08","14:15:13",19.0007,73.1299,78,78,455,455,349
"2022-10-08","14:15:13",18.9748,73.1242,30,44,840,573,350
"2022-10-08","14:15:13",18.9941,73.1148,30,44,840,573,351
"2022-10-08","14:15:13",19.0269,73.0939,53,53,1107,1107,352
"2022-10-08","14:15:13",18.9681,73.1316,71,71,136,136,353
"2022-10-08","14:15:13",19.0186,73.0283,48,48,648,648,354
"2022-10-08","14:15:13",18.9645,73.131,44,55,2294,1835,355
"2022-10-08","14:15:13",18.9632,73.1425,26,35,324,240,356
"2022-10-08","14:15:13",18.9662,73.126,54,61,1946,1722,357
"2022-10-08","14:15:13",18.9831,73.0809,25,28,1471,1313,358
"2022-10-08","14:15:13",19.0005,73.0337,48,48,648,648,359
"2022-10-08","14:15:13",18.9588,73.1594,37,49,66,50,360
"2022-10-08","14:15:13",19.0438,73.0273,53,53,1107,1107,361
"2022-10-08","14:15:13",18.9561,73.1617,53,53,903,903,362
"2022-10-08","14:30:13",18.9607,73.1655,38,47,209,169,363
"2022-10-08","14:30:13",18.9632,73.1425,27,36,312,234,364
"2022-10-08","14:30:13",18.9859,73.1198,16,23,308,214,365
"2022-10-08","14:30:13",18.9926,73.0957,46,56,365,300,366
"2022-10-08","14:30:13",18.9588,73.1594,37,49,66,50,367
"2022-10-08","14:30:13",18.9561,73.1617,53,53,903,903,368
"2022-10-08","14:30:13",18.9941,73.1148,29,44,869,573,369
"2022-10-08","14:30:13",19.0269,73.0939,43,52,1364,1128,370
"2022-10-08","14:30:13",19.0316,73.1053,28,40,478,335,371
